dtpricon;regiao;loctudet;metastaticos;estadios;fetar;obito1ano;obito;pop
2000;centroeste;colon;nao metastaticos;II;<60;0;0;1
2000;centroeste;colon;nao metastaticos;III;<60;0;0;1
2000;centroeste;colon;metastaticos;IV;<60;0;0;2
2000;centroeste;colon;metastaticos;IV;>=60;0;0;1
2000;centroeste;reto;nao metastaticos;I;>=60;0;0;1
2000;centroeste;reto;nao metastaticos;II;<60;0;0;1
2000;centroeste;reto;nao metastaticos;II;>=60;0;0;1
2000;centroeste;reto;nao metastaticos;III;<60;0;0;1
2000;centroeste;reto;nao metastaticos;III;>=60;0;1;1
2000;centroeste;reto;metastaticos;IV;<60;1;2;2
2000;centroeste;reto;metastaticos;IV;>=60;0;0;4
2000;nordeste;colon;nao metastaticos;I;<60;0;0;3
2000;nordeste;colon;nao metastaticos;I;>=60;0;1;5
2000;nordeste;colon;nao metastaticos;II;<60;0;1;14
2000;nordeste;colon;nao metastaticos;II;>=60;0;0;11
2000;nordeste;colon;nao metastaticos;III;<60;1;2;14
2000;nordeste;colon;nao metastaticos;III;>=60;2;4;14
2000;nordeste;colon;metastaticos;IV;<60;0;1;6
2000;nordeste;colon;metastaticos;IV;>=60;1;2;4
2000;nordeste;juncao retossigmoide;nao metastaticos;I;>=60;0;1;2
2000;nordeste;juncao retossigmoide;nao metastaticos;II;<60;0;1;1
2000;nordeste;juncao retossigmoide;nao metastaticos;II;>=60;0;0;2
2000;nordeste;juncao retossigmoide;nao metastaticos;III;<60;0;0;2
2000;nordeste;juncao retossigmoide;nao metastaticos;III;>=60;0;0;1
2000;nordeste;juncao retossigmoide;metastaticos;IV;<60;0;0;2
2000;nordeste;reto;nao metastaticos;I;<60;0;0;2
2000;nordeste;reto;nao metastaticos;I;>=60;1;2;7
2000;nordeste;reto;nao metastaticos;II;<60;1;7;24
2000;nordeste;reto;nao metastaticos;II;>=60;1;2;23
2000;nordeste;reto;nao metastaticos;III;<60;0;0;6
2000;nordeste;reto;nao metastaticos;III;>=60;0;2;4
2000;nordeste;reto;metastaticos;IV;<60;1;2;5
2000;nordeste;reto;metastaticos;IV;>=60;0;0;4
2000;norte;colon;nao metastaticos;I;<60;0;0;2
2000;norte;colon;nao metastaticos;II;<60;0;0;2
2000;norte;colon;nao metastaticos;III;>=60;0;0;1
2000;norte;reto;nao metastaticos;II;<60;0;0;1
2000;norte;reto;nao metastaticos;II;>=60;0;0;1
2000;norte;reto;nao metastaticos;III;<60;1;1;3
2000;norte;reto;nao metastaticos;III;>=60;0;0;3
2000;sudeste;colon;nao metastaticos;I;<60;0;6;33
2000;sudeste;colon;nao metastaticos;I;>=60;4;30;47
2000;sudeste;colon;nao metastaticos;II;<60;10;50;139
2000;sudeste;colon;nao metastaticos;II;>=60;17;87;159
2000;sudeste;colon;nao metastaticos;III;<60;14;59;111
2000;sudeste;colon;nao metastaticos;III;>=60;28;99;149
2000;sudeste;colon;metastaticos;IV;<60;56;107;121
2000;sudeste;colon;metastaticos;IV;>=60;55;105;123
2000;sudeste;juncao retossigmoide;nao metastaticos;I;<60;0;1;5
2000;sudeste;juncao retossigmoide;nao metastaticos;I;>=60;0;1;3
2000;sudeste;juncao retossigmoide;nao metastaticos;II;<60;0;2;8
2000;sudeste;juncao retossigmoide;nao metastaticos;II;>=60;2;4;10
2000;sudeste;juncao retossigmoide;nao metastaticos;III;<60;1;8;9
2000;sudeste;juncao retossigmoide;nao metastaticos;III;>=60;2;9;14
2000;sudeste;juncao retossigmoide;metastaticos;IV;<60;2;3;4
2000;sudeste;juncao retossigmoide;metastaticos;IV;>=60;4;7;10
2000;sudeste;reto;nao metastaticos;I;<60;1;14;50
2000;sudeste;reto;nao metastaticos;I;>=60;10;37;55
2000;sudeste;reto;nao metastaticos;II;<60;15;49;99
2000;sudeste;reto;nao metastaticos;II;>=60;28;82;130
2000;sudeste;reto;nao metastaticos;III;<60;11;51;85
2000;sudeste;reto;nao metastaticos;III;>=60;17;80;114
2000;sudeste;reto;metastaticos;IV;<60;36;61;77
2000;sudeste;reto;metastaticos;IV;>=60;33;60;74
2000;sul;colon;nao metastaticos;I;<60;0;0;2
2000;sul;colon;nao metastaticos;I;>=60;0;0;2
2000;sul;colon;nao metastaticos;II;<60;0;0;7
2000;sul;colon;nao metastaticos;II;>=60;1;3;16
2000;sul;colon;nao metastaticos;III;<60;0;1;9
2000;sul;colon;nao metastaticos;III;>=60;0;1;6
2000;sul;colon;metastaticos;IV;<60;0;2;7
2000;sul;colon;metastaticos;IV;>=60;1;3;7
2000;sul;juncao retossigmoide;nao metastaticos;III;<60;0;0;1
2000;sul;juncao retossigmoide;nao metastaticos;III;>=60;0;0;1
2000;sul;reto;nao metastaticos;I;<60;0;1;2
2000;sul;reto;nao metastaticos;I;>=60;0;1;1
2000;sul;reto;nao metastaticos;II;<60;0;0;4
2000;sul;reto;nao metastaticos;II;>=60;0;0;7
2000;sul;reto;nao metastaticos;III;<60;0;0;11
2000;sul;reto;nao metastaticos;III;>=60;0;1;7
2000;sul;reto;metastaticos;IV;<60;1;1;4
2000;sul;reto;metastaticos;IV;>=60;1;2;7
2001;centroeste;colon;nao metastaticos;I;<60;0;0;1
2001;centroeste;colon;nao metastaticos;II;<60;0;0;2
2001;centroeste;colon;nao metastaticos;III;<60;0;0;2
2001;centroeste;colon;nao metastaticos;III;>=60;0;0;2
2001;centroeste;colon;metastaticos;IV;<60;0;0;2
2001;centroeste;colon;metastaticos;IV;>=60;0;0;3
2001;centroeste;reto;nao metastaticos;II;<60;0;0;1
2001;centroeste;reto;nao metastaticos;III;>=60;0;0;1
2001;centroeste;reto;metastaticos;IV;<60;0;0;1
2001;nordeste;colon;nao metastaticos;I;<60;0;1;3
2001;nordeste;colon;nao metastaticos;I;>=60;1;2;6
2001;nordeste;colon;nao metastaticos;II;<60;0;0;24
2001;nordeste;colon;nao metastaticos;II;>=60;0;0;13
2001;nordeste;colon;nao metastaticos;III;<60;0;3;20
2001;nordeste;colon;nao metastaticos;III;>=60;1;1;15
2001;nordeste;colon;metastaticos;IV;<60;5;10;22
2001;nordeste;colon;metastaticos;IV;>=60;3;3;5
2001;nordeste;juncao retossigmoide;nao metastaticos;I;<60;0;0;1
2001;nordeste;juncao retossigmoide;nao metastaticos;I;>=60;0;0;1
2001;nordeste;juncao retossigmoide;nao metastaticos;II;<60;0;0;3
2001;nordeste;juncao retossigmoide;nao metastaticos;II;>=60;0;0;3
2001;nordeste;juncao retossigmoide;nao metastaticos;III;<60;0;0;4
2001;nordeste;juncao retossigmoide;nao metastaticos;III;>=60;0;0;1
2001;nordeste;juncao retossigmoide;metastaticos;IV;<60;0;0;3
2001;nordeste;juncao retossigmoide;metastaticos;IV;>=60;0;0;3
2001;nordeste;reto;nao metastaticos;I;<60;0;2;4
2001;nordeste;reto;nao metastaticos;I;>=60;0;1;14
